,0,1,2,3,4,5,6
142,1842,0.454241235,10.0.0.7,10.0.0.11,UDP,1042,41126 → 43355 Len=1000
143,1867,0.460630675,10.0.0.9,10.0.0.15,UDP,86,55878 → 28866 Len=44
144,1884,0.462619460,10.0.0.7,10.0.0.15,UDP,1042,41126 → 43355 Len=1000
145,1898,0.465498839,10.0.0.7,10.0.0.13,UDP,1042,41126 → 43355 Len=1000
146,1905,0.467251294,10.0.0.7,10.0.0.12,UDP,1042,41126 → 43355 Len=1000
147,1973,0.481641740,10.0.0.7,10.0.0.11,UDP,1042,41126 → 43355 Len=1000
148,1986,0.485066209,10.0.0.7,10.0.0.14,UDP,1042,41126 → 43355 Len=1000
149,1991,0.486381311,10.0.0.7,10.0.0.12,UDP,1042,41126 → 43355 Len=1000
150,2003,0.489247923,10.0.0.7,10.0.0.14,UDP,1042,41126 → 43355 Len=1000
151,2007,0.491382414,10.0.0.7,10.0.0.14,UDP,1042,41126 → 43355 Len=1000
152,2020,0.493301713,10.0.0.7,10.0.0.12,UDP,1042,41126 → 43355 Len=1000
153,2037,0.495592972,10.0.0.7,10.0.0.12,UDP,1042,41126 → 43355 Len=1000
154,2049,0.498718097,10.0.0.7,10.0.0.11,UDP,1042,41126 → 43355 Len=1000
155,2056,0.500619195,10.0.0.8,10.0.0.11,UDP,973,45397 → 28866 Len=931
156,2068,0.504160128,10.0.0.7,10.0.0.14,UDP,1042,41126 → 43355 Len=1000
157,2082,0.507719935,10.0.0.9,10.0.0.13,UDP,226,55878 → 28866 Len=184
158,2084,0.508221798,10.0.0.7,10.0.0.13,UDP,1042,41126 → 43355 Len=1000
159,2099,0.512369980,10.0.0.7,10.0.0.12,UDP,1042,41126 → 43355 Len=1000
160,2118,0.518681188,10.0.0.7,10.0.0.15,UDP,1042,41126 → 43355 Len=1000
161,2128,0.521303993,10.0.0.7,10.0.0.12,UDP,1042,41126 → 43355 Len=1000
162,2155,0.526308801,10.0.0.7,10.0.0.14,UDP,1042,41126 → 43355 Len=1000
163,2160,0.527988107,10.0.0.7,10.0.0.14,UDP,1042,41126 → 43355 Len=1000
164,2165,0.529200695,10.0.0.7,10.0.0.12,UDP,1042,41126 → 43355 Len=1000
165,2202,0.538231376,10.0.0.7,10.0.0.14,UDP,1042,41126 → 43355 Len=1000
166,2218,0.543014898,10.0.0.7,10.0.0.11,UDP,1042,41126 → 43355 Len=1000
167,2222,0.544152330,10.0.0.7,10.0.0.14,UDP,1042,41126 → 43355 Len=1000
168,2231,0.546986332,10.0.0.7,10.0.0.14,UDP,1042,41126 → 43355 Len=1000
169,2242,0.550258860,10.0.0.10,10.0.0.11,UDP,459,37053 → 28866 Len=417
170,2287,0.561279221,10.0.0.7,10.0.0.15,UDP,1042,41126 → 43355 Len=1000
171,2290,0.562290232,10.0.0.10,10.0.0.11,UDP,241,37053 → 28866 Len=199
172,2298,0.564392934,10.0.0.9,10.0.0.15,UDP,719,55878 → 28866 Len=677
173,2306,0.567016378,10.0.0.7,10.0.0.15,UDP,1042,41126 → 43355 Len=1000
174,2326,0.572697523,10.0.0.7,10.0.0.15,UDP,1042,41126 → 43355 Len=1000
175,2345,0.575141570,10.0.0.7,10.0.0.14,UDP,1042,41126 → 43355 Len=1000
176,2348,0.576180681,10.0.0.9,10.0.0.12,UDP,1005,55878 → 28866 Len=963
177,2350,0.576412876,10.0.0.7,10.0.0.13,UDP,1042,41126 → 43355 Len=1000
178,2372,0.583039852,10.0.0.7,10.0.0.11,UDP,1042,41126 → 43355 Len=1000
179,2382,0.585856914,10.0.0.7,10.0.0.14,UDP,1042,41126 → 43355 Len=1000
180,2386,0.586919633,10.0.0.8,10.0.0.12,UDP,589,45397 → 28866 Len=547
181,2404,0.591468558,10.0.0.7,10.0.0.11,UDP,1042,41126 → 43355 Len=1000
182,2414,0.592562945,10.0.0.9,10.0.0.14,UDP,619,55878 → 28866 Len=577
183,2438,0.599267037,10.0.0.7,10.0.0.13,UDP,1042,41126 → 43355 Len=1000
184,2443,0.600227671,10.0.0.10,10.0.0.15,UDP,648,37053 → 28866 Len=606
185,2445,0.600890951,10.0.0.7,10.0.0.14,UDP,1042,41126 → 43355 Len=1000
